    source,author,title,description,url,publishedAt,content
Github.com,marjipan200,Show HN: Chronos Timeline – interactive timelines from Markdown in your notes,"An Obsidian plugin powered by visjs and OpenAI.Create portable, interactive timelines to make time make senseYou can also do text-to-timeline with AI.Install for free herehttps://obsidian.md/plugins?search=chronos

Comments URL: https://news.ycombinator.com/i…",https://github.com/clairefro/obsidian-plugin-chronos,2024-11-29T17:28:59Z,"Render interactive timelines in your Obsidian notes from simple Markdown. Make time make sense.
Powered by the vis-timeline library.
Create timelines in your notes by opening a chronos codeblock an… [+7123 chars]"
Ozbargain.com.au,HamBoi69,"Chemist Warehouse: 12% Cashback Capped at $12 (One Transaction Only Per Member, 8AM to 12PM AEDT) @ TopCashback","I reached out to TA and asked him for a hot deal, and this one certainly beats all that of the competition!

Make sure to stack with the extra 10% off storewide!!

As usual, be sure to check the terms below before asking your questions in the comments:

Cashb…",https://www.ozbargain.com.au/node/881029,2024-11-28T20:40:11Z,"I reached out to TA and asked him for a hot deal, and this one certainly beats all that of the competition!
Make sure to stack with the extra 10% off storewide!!
As usual, be sure to check the term… [+1474 chars]"
Travelingformiles.com,Traveling For Miles,Etihad announces 10 new international routes (one is a new US route),"A few weeks ago, Etihad told us that a series of new route announcements were on the way and over the past few days, the airline has been dropping hints as to what these new routes will be. Today, the new routes have been announced with Asia being the main be…",https://travelingformiles.com/etihad-announces-10-new-routes/,2024-11-25T08:01:59Z,TravelingForMiles.com may receive commission from card issuers. Some or all of the card offers that appear on TravelingForMiles.com are from advertisers and may impact how and where card products app… [+8039 chars]
[Removed],,[Removed],[Removed],https://removed.com,2024-11-25T05:15:47Z,[Removed]
Freerepublic.com,The New York Times,Blue States Worry That Blocking Trump Will Be Tougher This Time,"During the early days of Donald J. Trump’s first presidency, lawyers at the attorney general’s office in Washington State would gather to strategize about what they saw as troubling directives being handed down by the White House.There were orders barring tra…",https://freerepublic.com/focus/f-news/4280636/posts,2024-11-24T21:59:37Z,"Skip to comments.
Blue States Worry That Blocking Trump Will Be Tougher This TimeThe New York Times ^
 | Nov. 22, 2024, 11:28 a.m. ET
 | By Mike Baker, Shawn Hubler
Posted on 11/24/2024 1:59:37 P… [+9290 chars]"
ABC News,WAYNE PARRY Associated Press,Atlantic City casino earnings fall nearly 14% in 3rd quarter,Atlantic City’s casinos saw their operating profits decline by nearly 14% in the third quarter of this year,https://abcnews.go.com/Business/wireStory/atlantic-city-casino-earnings-fall-14-3rd-quarter-116146459,2024-11-22T20:30:29Z,"ATLANTIC CITY, N.J. -- Atlantic City's casinos saw their operating profits decline by nearly 14% in the third quarter of this year, figures released Friday by New Jersey gambling regulators show.
Th… [+2992 chars]"
Plos.org,"Fatemeh Sabzian-Molaei, Mohammad Ali Nasiri Khalili, Mohammad Sabzian-Molaei, Hosein Shahsavarani, Alireza Fattah Pour, Ahmad Molaei Rad, Amin Hadi",Correction: Urtica dioica Agglutinin: A plant protein candidate for inhibition of SARS-COV-2 receptor-binding domain for control of Covid19 Infection,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0314614,2024-11-22T14:00:00Z,"There are errors in the Author Contributions. The correct contributions are:
Formal analysis: Fatemeh Sabzian-Molaei.
Investigation: Fatemeh Sabzian-Molaei, Mohammad Ali Nasiri Khalili, Mohammad Sa… [+1216 chars]"
Sciencebasedmedicine.org,Jonathan Howard,"Laptop Class Doctors Think Doctors Who Treat Patients Are Lazy, Dumb, Cowardly, Sheep","Had laptop class doctors been willing to listen to doctors who worked on COVID units, they wouldn't have said so many absurd things.
The post Laptop Class Doctors Think Doctors Who Treat Patients Are Lazy, Dumb, Cowardly, Sheep first appeared on Science-Based…",https://sciencebasedmedicine.org/laptopdoctors/,2024-11-22T08:07:00Z,"A Legend At A Brooklyn Hospital Dies Of Covid-19: ‘He Ran Into The Fire’
Being a frontline healthcare worker was just one of 10,000 ways in which people made crucial pandemic contributions. It was n… [+12298 chars]"
Freerepublic.com,The Hill,National COVID-19 vaccination rate less than 20 percent: CDC survey,"Just 17.9 percent of U.S. adults have gotten a COVID-19 vaccine, and 34.7 percent have received an influenza vaccine during the 2024-25 respiratory disease season, according to a new report from the Centers for Disease Control and Prevention (CDC). The report…",https://freerepublic.com/focus/f-news/4280067/posts,2024-11-22T00:54:54Z,"Skip to comments.
National COVID-19 vaccination rate less than 20 percent: CDC surveyThe Hill ^
 | 11/21/2024
 | ALEJANDRA OCONNELL-DOMENECH
Posted on 11/21/2024 4:54:54 PM PST by ChicagoConserva… [+2393 chars]"
Plos.org,"Nikita G. Kute, David L. Ashley, Claire A. Spears, Amy L. Nyman, Katherine C. Henderson, Vuong V. Do, Jidong Huang, Lucy Popova",Association of tobacco purchasing behaviors with tobacco use by user groups during the COVID-19 pandemic: A mixed methods analysis,Purpose To understand changes in purchasing behaviors and use of tobacco products such as e-cigarettes and cigarettes among different tobacco user groups during the COVID-19 pandemic using a mixed methods approach.   Methods A quantitative online survey was c…,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0313566,2024-11-21T14:00:00Z,"Abstract
Purpose
To understand changes in purchasing behaviors and use of tobacco products such as e-cigarettes and cigarettes among different tobacco user groups during the COVID-19 pandemic using… [+44694 chars]"
Plos.org,"Malak Ghezzawi, Sasha Fahme, Salpy Naalbandian, Jocelyn DeJong, WOMENA Study Group",Impact of the COVID-19 pandemic on intra-household gender disparities in the Middle East and North Africa region: A scoping review protocol,"Introduction The Middle East and North Africa (MENA) is a global outlier both for its low female labor force participation and investment in early childhood development services, and consistently ranks lowest on global rankings of gender parity. While the imp…",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0313838,2024-11-18T14:00:00Z,"Abstract
Introduction
The Middle East and North Africa (MENA) is a global outlier both for its low female labor force participation and investment in early childhood development services, and consi… [+33111 chars]"
Plos.org,"Ahmad Sofi-Mahmudi, Eero Raittio, Yeganeh Khazaei, Javed Ashraf, Falk Schwendicke, Sergio E. Uribe, David Moher",COVID-19-related research data availability and quality according to the FAIR principles: A meta-research study,"Background According to the FAIR principles (Findable, Accessible, Interoperable, and Reusable), scientific research data should be findable, accessible, interoperable, and reusable. The COVID-19 pandemic has led to massive research activities and an unpreced…",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0313991,2024-11-18T14:00:00Z,"Abstract
Background
According to the FAIR principles (Findable, Accessible, Interoperable, and Reusable), scientific research data should be findable, accessible, interoperable, and reusable. The C… [+42132 chars]"
Financial Post,Bloomberg News,Singapore Oil Tycoon OK Lim Sentenced to 17 1/2 Years Jail,"A Singapore court has sentenced oil tycoon Lim Oon Kuin to 17-and-half years in jail for cheating HSBC Holdings Plc and instigating forgery, in a case that has shaken the city-state’s commodity-trading community.",https://financialpost.com/pmn/business-pmn/singapore-oil-tycoon-ok-lim-sentenced-to-17-1-2-years-jail,2024-11-18T08:03:05Z,"A Singapore court has sentenced oil tycoon Lim Oon Kuin to 17-and-half years in jail for cheating HSBC Holdings Plc and instigating forgery, in a case that has shaken the city-states commodity-tradin… [+8062 chars]"
