source,author,title_lemmatized_cleaned,description_lemmatized_cleaned,content_lemmatized_cleaned
Financial Post,GlobeNewswire,"['hut', 'operation', 'update', 'november']","['ehs', 'mw', 'management', 'mining', 'path', 'ehs', 'miami', 'dec', 'globe', 'newswire', 'hut', 'corp', 'nasdaq', 'tsx', 'hut', 'hut', 'company', 'leading', 'vertically', 'integrated', 'operator', 'largescale', 'energy', 'infrastructure', 'one']","['ehs', 'mw', 'management', 'mining', 'path', 'ehs', 'miami', 'dec', 'globe', 'newswire', 'hut', 'corp', 'nasdaq', 'tsx', 'hut', 'hut', 'company', 'leading', 'vertically', 'integrate', 'char']"
GlobeNewswire,Hut 8 Corp.,"['hut', 'operation', 'update', 'november']","['hut', 'vertically', 'integrated', 'operator', 'largescale', 'energy', 'infrastructure', 'bitcoin', 'miner', 'today', 'released', 'operation', 'update', 'november']","['ehs', 'mw', 'management', 'mining', 'path', 'ehs', 'miami', 'dec', 'globe', 'newswire', 'hut', 'corp', 'nasdaq', 'tsx', 'hut', 'hut', 'company', 'leading', 'vertically', 'integr', 'char']"
Plos.org,"Musa Khan, Wu Chao, Muhammad Rahim, Fazli Amin","['enhancing', 'green', 'supplier', 'selection', 'nonlinear', 'programming', 'method', 'topsis', 'cubic', 'pythagorean', 'fuzzy', 'context']","['advancement', 'information', 'communication', 'technology', 'given', 'rise', 'innovative', 'development', 'cloud', 'computing', 'internet', 'thing', 'big', 'data', 'analytics', 'artificial', 'intelligence', 'technology', 'integrated', 'production']","['abstract', 'advancement', 'information', 'communication', 'technology', 'given', 'rise', 'innovative', 'development', 'cloud', 'computing', 'internet', 'thing', 'big', 'data', 'analytics', 'artificial', 'char']"
The BMJ,"Berg, J., Wretborn, J.","['impact', 'covid', 'pandemic', 'national', 'telehealth', 'service', 'triage', 'referral', 'sweden', 'national', 'retrospective', 'observational', 'study']","['objective', 'telehealth', 'provision', 'healthcare', 'digital', 'communication', 'ha', 'proposed', 'potential', 'solution', 'meet', 'increasing', 'demand', 'healthcare', 'particularly', 'setting', 'covid', 'pandemic', 'sweden', 'ha', 'established', 'national']","['introduction', 'covid', 'pandemic', 'posed', 'significant', 'challenge', 'healthcare', 'system', 'around', 'world', 'healthcare', 'provider', 'manage', 'patient', 'new', 'covid', 'disease', 'rigorous', 'safety', 'char']"
Freerepublic.com,The New York Post,"['trump', 'used', 'forceful', 'hand', 'oust', 'dea', 'pick', 'hearing', 'concern', 'arrest', 'pastor']","['presidentelect', 'donald', 'trump', 'used', 'forceful', 'hand', 'get', 'drug', 'enforcement', 'agency', 'pick', 'drop', 'tuesday', 'hearing', 'concern', 'floridian', 'record', 'source', 'familiar', 'told', 'post', 'leading', 'outgoing', 'rep', 'anthony', 'desposito', 'rny', 'make']","['skip', 'comment', 'trump', 'used', 'forceful', 'hand', 'oust', 'dea', 'pick', 'hearing', 'concern', 'arrest', 'pastorthe', 'new', 'york', 'post', 'diana', 'glebova', 'posted', 'p', 'char']"
Bluevirginia.us,Lowkell,"['video', 'rep', 'beyer', 'dva', 'protect', 'care', 'virginia', 'healthcare', 'advocate', 'rip', 'rfk', 'jr', 'fueled', 'conspiracy', 'theory', 'lie', 'existential', 'threat', 'health', 'care', 'making', 'polio', 'great', 'etc']","['video', 'rep', 'beyer', 'dva', 'protect', 'care', 'virginia', 'healthcare', 'advocate', 'rip', 'rfk', 'jr', 'fueled', 'conspiracy', 'theory', 'lie', 'existential', 'threat', 'health', 'care', 'making', 'polio', 'great', 'etcbluevirginiaus']","['minute', 'ago', 'protect', 'care', 'virginia', 'held', 'press', 'conference', 'rep', 'beyer', 'va', 'health', 'care', 'advocate', 'sounded', 'alarm', 'donald', 'trump', 'nomination', 'robert', 'f', 'kennedy', 'jr', 'char']"
Sciencebasedmedicine.org,Steven Novella,"['question', 'pandemic', 'preparedness']","['theme', 'sbm', 'week', 'question', 'trump', 'nominee', 'key', 'health', 'position', 'within', 'federal', 'government', 'david', 'got', 'ball', 'rolling', 'excellent', 'summary', 'nominee', 'question', 'jonathan', 'followed', 'list', 'questio']","['theme', 'sbm', 'week', 'question', 'trump', 'nominee', 'key', 'health', 'position', 'within', 'federal', 'government', 'david', 'got', 'ball', 'rolling', 'excellent', 'summary', 'nominee', 'question', 'char']"
Freerepublic.com,"Gateway Pundit,","['disqualified', 'conservative', 'slam', 'trump', 'dea', 'pick', 'chad', 'chronister', 'woke', 'democrat', 'donor', 'provaccine', 'tyrant', 'arrested', 'pastor', 'covid']","['donald', 'trump', 'recent', 'announcement', 'sheriff', 'chad', 'chronister', 'nominee', 'drug', 'enforcement', 'administration', 'dea', 'administrator', 'ha', 'sparked', 'fierce', 'backlash', 'among', 'conservative', 'raising', 'serious', 'concern', 'chronisters', 'record', 'particularly', 'hi']","['skip', 'comment', 'disqualified', 'conservative', 'slam', 'trump', 'dea', 'pick', 'chad', 'chronister', 'woke', 'democrat', 'donor', 'provaccine', 'tyrant', 'arrested', 'pastor', 'covidgateway', 'pundit', 'char']"
Github.com,marjipan200,"['show', 'hn', 'chronos', 'timeline', 'interactive', 'timeline', 'markdown', 'note']","['obsidian', 'plugin', 'powered', 'visjs', 'openaicreate', 'portable', 'interactive', 'timeline', 'make', 'time', 'make', 'senseyou', 'also', 'texttotimeline', 'aiinstall', 'free', 'comment', 'url']","['render', 'interactive', 'timeline', 'obsidian', 'note', 'simple', 'markdown', 'make', 'time', 'make', 'sense', 'powered', 'vistimeline', 'library', 'create', 'timeline', 'note', 'opening', 'chronos', 'codeblock', 'char']"
Ozbargain.com.au,HamBoi69,"['chemist', 'warehouse', 'cashback', 'capped', 'one', 'transaction', 'per', 'member', 'pm', 'aedt', 'topcashback']","['reached', 'ta', 'asked', 'hot', 'deal', 'one', 'certainly', 'beat', 'competition', 'make', 'sure', 'stack', 'extra', 'storewide', 'usual', 'sure', 'check', 'term', 'asking', 'question', 'comment', 'cashb']","['reached', 'ta', 'asked', 'hot', 'deal', 'one', 'certainly', 'beat', 'competition', 'make', 'sure', 'stack', 'extra', 'storewide', 'usual', 'sure', 'check', 'term', 'char']"
Travelingformiles.com,Traveling For Miles,"['etihad', 'announces', 'new', 'international', 'route', 'one', 'new', 'u', 'route']","['week', 'ago', 'etihad', 'told', 'u', 'series', 'new', 'route', 'announcement', 'way', 'past', 'day', 'airline', 'ha', 'dropping', 'hint', 'new', 'route', 'today', 'new', 'route', 'announced', 'asia', 'main']","['travelingformilescom', 'may', 'receive', 'commission', 'card', 'issuer', 'card', 'offer', 'appear', 'travelingformilescom', 'advertiser', 'may', 'impact', 'card', 'product', 'app', 'char']"
[Removed],,['removed'],['removed'],['removed']
Freerepublic.com,The New York Times,"['blue', 'state', 'worry', 'blocking', 'trump', 'tougher', 'time']","['early', 'day', 'donald', 'j', 'trump', 'first', 'presidency', 'lawyer', 'attorney', 'general', 'office', 'washington', 'state', 'would', 'gather', 'strategize', 'saw', 'troubling', 'directive', 'handed', 'white', 'housethere', 'order', 'barring', 'tra']","['skip', 'comment', 'blue', 'state', 'worry', 'blocking', 'trump', 'tougher', 'timethe', 'new', 'york', 'time', 'nov', 'et', 'mike', 'baker', 'shawn', 'hubler', 'posted', 'p', 'char']"
ABC News,WAYNE PARRY Associated Press,"['atlantic', 'city', 'casino', 'earnings', 'fall', 'nearly', 'rd', 'quarter']","['atlantic', 'city', 'casino', 'saw', 'operating', 'profit', 'decline', 'nearly', 'third', 'quarter', 'year']","['atlantic', 'city', 'nj', 'atlantic', 'city', 'casino', 'saw', 'operating', 'profit', 'decline', 'nearly', 'third', 'quarter', 'year', 'figure', 'released', 'friday', 'new', 'jersey', 'gambling', 'regulator', 'show', 'th', 'char']"
Plos.org,"Fatemeh Sabzian-Molaei, Mohammad Ali Nasiri Khalili, Mohammad Sabzian-Molaei, Hosein Shahsavarani, Alireza Fattah Pour, Ahmad Molaei Rad, Amin Hadi","['correction', 'urtica', 'dioica', 'agglutinin', 'plant', 'protein', 'candidate', 'inhibition', 'sarscov', 'receptorbinding', 'domain', 'control', 'covid', 'infection']",[],"['error', 'author', 'contribution', 'correct', 'contribution', 'formal', 'analysis', 'fatemeh', 'sabzianmolaei', 'investigation', 'fatemeh', 'sabzianmolaei', 'mohammad', 'ali', 'nasiri', 'khalili', 'mohammad', 'sa', 'char']"
Sciencebasedmedicine.org,Jonathan Howard,"['laptop', 'class', 'doctor', 'think', 'doctor', 'treat', 'patient', 'lazy', 'dumb', 'cowardly', 'sheep']","['laptop', 'class', 'doctor', 'willing', 'listen', 'doctor', 'worked', 'covid', 'unit', 'wouldnt', 'said', 'many', 'absurd', 'thing', 'post', 'laptop', 'class', 'doctor', 'think', 'doctor', 'treat', 'patient', 'lazy', 'dumb', 'cowardly', 'sheep', 'first', 'appeared', 'sciencebased']","['legend', 'brooklyn', 'hospital', 'dy', 'covid', 'ran', 'fire', 'frontline', 'healthcare', 'worker', 'wa', 'one', 'way', 'people', 'made', 'crucial', 'pandemic', 'contribution', 'wa', 'n', 'char']"
Freerepublic.com,The Hill,"['national', 'covid', 'vaccination', 'rate', 'less', 'percent', 'cdc', 'survey']","['percent', 'u', 'adult', 'gotten', 'covid', 'vaccine', 'percent', 'received', 'influenza', 'vaccine', 'respiratory', 'disease', 'season', 'according', 'new', 'report', 'center', 'disease', 'control', 'prevention', 'cdc', 'report']","['skip', 'comment', 'national', 'covid', 'vaccination', 'rate', 'less', 'percent', 'cdc', 'surveythe', 'hill', 'alejandra', 'oconnelldomenech', 'posted', 'pm', 'pst', 'chicagoconserva', 'char']"
Plos.org,"Nikita G. Kute, David L. Ashley, Claire A. Spears, Amy L. Nyman, Katherine C. Henderson, Vuong V. Do, Jidong Huang, Lucy Popova","['association', 'tobacco', 'purchasing', 'behavior', 'tobacco', 'use', 'user', 'group', 'covid', 'pandemic', 'mixed', 'method', 'analysis']","['purpose', 'understand', 'change', 'purchasing', 'behavior', 'use', 'tobacco', 'product', 'ecigarettes', 'cigarette', 'among', 'different', 'tobacco', 'user', 'group', 'covid', 'pandemic', 'using', 'mixed', 'method', 'approach', 'method', 'quantitative', 'online', 'survey', 'wa', 'c']","['abstract', 'purpose', 'understand', 'change', 'purchasing', 'behavior', 'use', 'tobacco', 'product', 'ecigarettes', 'cigarette', 'among', 'different', 'tobacco', 'user', 'group', 'covid', 'pandemic', 'using', 'char']"
Plos.org,"Malak Ghezzawi, Sasha Fahme, Salpy Naalbandian, Jocelyn DeJong, WOMENA Study Group","['impact', 'covid', 'pandemic', 'intrahousehold', 'gender', 'disparity', 'middle', 'east', 'north', 'africa', 'region', 'scoping', 'review', 'protocol']","['introduction', 'middle', 'east', 'north', 'africa', 'mena', 'global', 'outlier', 'low', 'female', 'labor', 'force', 'participation', 'investment', 'early', 'childhood', 'development', 'service', 'consistently', 'rank', 'lowest', 'global', 'ranking', 'gender', 'parity', 'imp']","['abstract', 'introduction', 'middle', 'east', 'north', 'africa', 'mena', 'global', 'outlier', 'low', 'female', 'labor', 'force', 'participation', 'investment', 'early', 'childhood', 'development', 'service', 'consi', 'char']"
Plos.org,"Ahmad Sofi-Mahmudi, Eero Raittio, Yeganeh Khazaei, Javed Ashraf, Falk Schwendicke, Sergio E. Uribe, David Moher","['covidrelated', 'research', 'data', 'availability', 'quality', 'according', 'fair', 'principle', 'metaresearch', 'study']","['background', 'according', 'fair', 'principle', 'findable', 'accessible', 'interoperable', 'reusable', 'scientific', 'research', 'data', 'findable', 'accessible', 'interoperable', 'reusable', 'covid', 'pandemic', 'ha', 'led', 'massive', 'research', 'activity', 'unpreced']","['abstract', 'background', 'according', 'fair', 'principle', 'findable', 'accessible', 'interoperable', 'reusable', 'scientific', 'research', 'data', 'findable', 'accessible', 'interoperable', 'reusable', 'c', 'char']"
Financial Post,Bloomberg News,"['singapore', 'oil', 'tycoon', 'ok', 'lim', 'sentenced', 'year', 'jail']","['singapore', 'court', 'ha', 'sentenced', 'oil', 'tycoon', 'lim', 'oon', 'kuin', 'andhalf', 'year', 'jail', 'cheating', 'hsbc', 'holding', 'plc', 'instigating', 'forgery', 'case', 'ha', 'shaken', 'citystates', 'commoditytrading', 'community']","['singapore', 'court', 'ha', 'sentenced', 'oil', 'tycoon', 'lim', 'oon', 'kuin', 'andhalf', 'year', 'jail', 'cheating', 'hsbc', 'holding', 'plc', 'instigating', 'forgery', 'case', 'ha', 'shaken', 'citystates', 'commoditytradin', 'char']"
