Titre,Abstract,Auteurs
The Current State of Visualization Techniques in Endoscopic Skull Base Surgery,"Skull base surgery has undergone significant progress following key technological developments. From early candle-lit devices to the modern endoscope, refinements in visualization techniques have made endoscopic skull base surgery (ESBS) a standard practice for treating a variety of conditions. The endoscope has also been integrated with other technologies to enhance visualization, including fluorescence agents, intraoperative neuronavigation with augmented reality, and the exoscope. Endoscopic approaches have allowed neurosurgeons to reevaluate skull base neuroanatomy from new perspectives. These advances now serve as the foundation for future developments in ESBS. In this narrative review, we discuss the history and development of ESBS, current visualization techniques, and future innovations.","Jakub Jarmula, 1, Erion Junior de Andrade, 2, Varun R Kshettry, 1, 2, Pablo F Recinos, 1, 2, 3"
Surgery of the skull base as a new section inActa Otorhinolaryngologica Italica,La chirurgia della base del cranio in una nuova sezione di Acta Otorhinolaryngologica Italica.,"Antonio Mazzoni, 1"
Endoscopic skull base surgery: where on the parabola?,Résumé non trouvé,"Paolo Cappabianca, 1, Francesco Doglietto, Fred Gentili, Piero Nicolai"
[Prevention of and Countermeasures for Surgical Site Infection in the Field of Skull Base Surgery],"In neurosurgery, perioperative surgical site infection(SSI)is associated with complicated postoperative management, prolonged hospital stay, and patient stress. In this article, we review SSI in the field of skull base surgery, including endoscopic endonasal surgery, and discuss ways to prevent SSI. In a craniotomy, in which the frontal sinus is revealed, prevention of cerebrospinal fluid(CSF)leakage by reliable repair of the dura and frontal sinus reduces SSI. In addition, prevention of postoperative CSF leakage by reliable skull base reconstruction in endoscopic endonasal surgery contributes to the prevention of SSI. Prophylactic antibiotics are often reported to be useful, and cephalosporin or sulbactam/ampicillin intravenous injections are generally used. There are insufficient data to recommend lumbar drainage for the management of SSI and postoperative CSF leak. Skull base surgery is often a clean-contaminated surgery, and serious complications can be prevented by proper understanding and performance of the appropriate method as required. However, no studies with a high level of evidence on SSI in the field of skull base surgery exist. New large randomized controlled trials are expected to evaluate the efficacy of prophylactic antibiotics in skull base surgery.","Shinichiro Koizumi, 1, Kazuhiko Kurozumi"
Comprehensive Postoperative Management After Endoscopic Skull Base Surgery,"To maximize outcomes from endoscopic skull base surgery, careful early postoperative management is critically important. Standardized postoperative regimens are lacking. The type of reconstruction and presence and type of cerebrospinal fluid leak dictate management. If a leak is encountered intraoperatively, patients should avoid maneuvers that increase intracranial pressures for at least 1 month. Early postoperative care focuses on minimizing and managing nasal crusting. This article reviews the evidence in the literature on postoperative management, complications, and quality of life after surgery, and outlines our experience in the management of patients after endoscopic skull base surgery.","Duc A Tien, 1, Janalee K Stokken, 2, Pablo F Recinos, 3, Troy D Woodard, 3, Raj Sindwani, 4"
The contribution of oncological lateral skull base surgery to the management of advanced head-neck tumors,"Background:Lateral skull base is a complex area between the brain and the neck that is characterized by a large anatomic variability in narrow spaces and wide heterogeneity of tissues. The complexity of the anatomy makes it more difficult to accurately identify tumor spread and surgical planning is here particularly demanding.Aims:Oncological skull base surgery is conceived for malignant lesions originating in, secondarily infiltrating, or in close proximity to the lateral skull base. It is also conceived for selected aggressive or benign lesions of the parapharyngeal space and infratemporal fossa abutting the skull base, or crossing it from above downwards to the neck. This paper is focused on the role that oncological skull base surgery plays to resect tumors in this area.Methods and results:Three main types of head and neck lesions can be identified as paradigms of the philosophy of oncological lateral skull base surgery, and are herein presented: (i) primary malignant tumors of the ear; (ii) advanced malignant parotid tumors; (iii) primary malignant or locally aggressive tumors of the infratemporal fossa-parapharyngeal space. The en-bloc lateral and subtotal temporal bone resections, the en-bloc temporo-parotid resection and the combined subtemporal-transcervical-transparotid resection are described, respectively.Conclusions and significance:Different histologies are found in the lateral skull base and adjacent areas, and each histology has its own pattern of growth and undetected spreading in a difficult-to-reach surgical area. The leading principle is to create a wide access through soft tissues and bone removal far enough from the tumor to obtain a complete resection, en-bloc radical resection in malignancies. The entity of dissection is obviously modulated on the tumor triad (histology, pattern of growth, extent) and is achieved through the en-bloc and combined approaches that are here described.","Elisabetta Zanoletti, 1, Gino Marioni, 1, Piero Nicolai, 1, Antonio Mazzoni, 1, 2"
Outcomes in Pediatric Endoscopic Skull Base Surgery: A Systematic Review,"ObjectivesThe frequency of endoscopic skull base surgery in pediatric patients is increasing. This study aims to systematically review the literature for endoscopic skull base surgery outcomes in children/adolescents aged 0 to 18 years.DesignA systematic review of the literature was performed in PubMed and SCOPUS databases querying studies from 2000 to 2020 using the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines. Final inclusion criteria included: case series with more than 10 patients with pediatric patients aged ≤18 years, endoscopic or endoscopic-assisted skull base surgery, and outcomes reported.SettingThis study was conducted at a tertiary care medical center.ParticipantsChildren/adolescents aged 0 to 18 years who underwent endoscopic skull base surgery were participated in this study.Main Outcome MeasuresPatient demographics, pathology, reconstructive technique, intraoperative findings, intraoperative, and postoperative surgical complications were measured through this study.ResultsSystematic literature search yielded 287 publications. Of these, 12 studies discussing a total of 399 patients aged 0 to 18 years met inclusion criteria for final analysis. Seven of the 12 studies discussed a single pathology. The most common pathology was a skull base defect causing cerebrospinal fluid (CSF) leak. The majority of skull base repairs were made with free tissue grafts. The most common postoperative complication was CSF leak (n= 40). Twelve cases of meningitis occurred postoperatively with two of these episodes resulting in death.ConclusionEndoscopic skull base surgery has been performed recently in the pediatric population in a variety of disease states. Inconsistent individual-level data and reporting standards are present in existing studies posing challenges for comparative analysis. Standardized reporting will aid future reviews and meta-analysis for rare skull base pathology.","Erin M Lopez, 1, Zainab Farzal, 1, Kelly M Dean, 1, Craig Miller, 1, Justin C Morse, 1, Charles S Ebert Jr, 1, Adam J Kimple, 1, Brian D Thorp, 1, Adam M Zanation, 1"
Application of Ultrasonic Aspirators in Rhinology and Skull Base Surgery,"Ultrasonic aspirators (UAs) are increasingly being used in rhinology and skull base surgery. The use of ultrasonic vibration for the removal of bony tissue transfers minimal heat to surrounding tissues and is relatively atraumatic to nearby soft tissue structures. This article details the development and application of this technology in septoturbinoplasty, endoscopic dacryocystorhinostomy (DCR), and skull base surgery. The benefits and limitations of UAs compared with conventionally powered instruments are discussed.","Dominic Vernon, 1, Brian C Lobo, 2, Jonathan Y Ting, 3"
Anesthetic Techniques in Endoscopic Sinus and Skull Base Surgery,"Endoscopic sinus approach has become one of the most common surgical techniques for endoscopic sinus and skull base surgery. Anesthetic management has an important impact on the overall patient management, from the preoperative assessment and management to the quality of the surgical field and the postoperative recovery. Hemostasis is critical for adequate anatomical endoscopic visualization. Mild controlled hypotension seems to improve the visibility of the surgical field. Reduction of intraoperative bleeding should be considered during the treatment planning. Preoperative preparations include the optimization of comorbidities and cessation of drugs that may inhibit coagulation.","Martha Cordoba Amorocho, 1, Iuliu Fat, 2"
Transnasal endoscopic skull base surgery: what are the limits?,"Purpose of review:Endoscopic skull base surgery has significantly revolutionized the management of skull base disease. Our review focuses on the recent literature relating to endoscopic skull base surgery emphasizing its limitations.Recent findings:Current literature continues to expand the indications for endoscopic approaches to the skull base. Experience in endoscopic techniques continues to grow across the world. This is due in part to advances in instrumentation and technology, improvements in technique and, more importantly, an increase in the number of surgeons with training in endoscopic techniques. Long-term outcome data remain sparse.Summary:The limitations in endoscopic skull base surgery have not been reached. Increasing experience and improvement in technology will likely expand current indications. Future studies should focus on outcome analysis.","C Arturo Solares, 1, Yew Kwang Ong, Carl H Snyderman"
[Overview and prospects of endoscopic skull base surgery],"Endoscopic skull base surgery presents significant technical challenges and high surgical risks, requiring collaboration among multiple disciplines such as otolaryngology, neurosurgery, ophthalmology, and oral maxillofacial surgery. In recent years, there has been rapid development in endoscopic skull base surgery, characterized by flourishing anatomical research and an expanding range of surgical indications. The future brings both opportunities and challenges, and endoscopic skull base surgery must grasp new directions in medical development, actively providing patients with safer and more effective treatment options.","Dehui Wang, 1, Huankang Zhang, 1"
Skull base surgery for benign skull base tumors,"The use of skull base techniques in the treatment of benign skull base tumors has allowed access to areas of the brain once considered inaccessible. The most common benign skull base tumors encountered in neurosurgical practice are benign meningiomas, schwannomas, and glomus jugulare tumors. Gross total resection of these lesions gives patients the best possible chance of a cure. In this paper, we review the rationale for the use of skull base surgery techniques for benign skull base tumors.","Ketan R Bulsara, 1, Ossama Al-Mefty"
Tension pneumocephalus after skull base surgery. A case report and review of literature,"Pneumocephalus describes the presence of air within the cranial cavity and is often self-limiting. Tension pneumocephalus is a neurosurgical emergency manifested by headaches, seizures, reduced consciousness and even death resulting from raised intracranial pressure. Differentiating both entities clinically is often challenging but crucial. We present a case involving a sixty-year-old male who was transferred to our unit after he collapsed while undergoing rehabilitation. The patient had undergone a combined bifrontal craniotomy and transnasal endoscopic resection of recurrent sinonasal adenocarcinoma with anterior skull base involvement eight days prior. Imaging demonstrated the classic Mt. Fuji sign and a diagnosis of tension pneumocephalus was formed. The patient proceeded for definitive management which included a multi-layered repair of the anterior skull base. The three mechanisms that propose the development of tension pneumocephalus include the ball-valve mechanism, the inverted soda-bottle effect and rarely, infection from gas forming organisms. A review of current literature on PubMed/MEDLINE revealed tension pneumocephalus after skull base surgery to be a rare entity with only eleven cases reported. Most patients achieved complete recovery of symptoms post-treatment. Clinicians should recognise tension pneumocephalus as a potential complication after skull base surgery. Accurate diagnosis requires appreciation of imaging features and a high index of suspicion. Prompt management is imperative to prevent possible devastating outcomes.","R D Biju, 1, J Wu, 2, Z Hussain, 2"
The evolving role of the oculoplastic surgeon in skull base surgery,"Purpose of review:Classical orbital approaches in skull base surgery have involved large incisions with extensive bone removal resulting in prolonged recovery with associated morbidity and mortality. The purpose of this review is to explore recent advances in skull base surgery that are applicable to the orbital surgeon.Recent findings:Transnasal endoscopic surgery provides access to the medial 180 degrees of the orbit. Access to the lateral 180 degrees may be obtained using transmaxillary and transcranial techniques. Transorbital approaches and multiport techniques further expand the reach of the skull base surgeon. These minimally invasive techniques are supplanting the classical pterional, frontotemporal, frontotemporal orbitozygomatic, frontal, and subfrontal approaches.Summary:The role of the orbital surgeon in skull base surgery is changing. Transnasal and transcranial approaches to orbital disorders using minimally invasive techniques are becoming more common. In addition, transorbital access to the skull base, paranasal sinuses, and anterior and middle cranial fossa is offering new opportunities for the orbital surgeon.","Richard C Allen, 1"
"Skull base surgery: past, present, and future trends",The author outlines the history of skull base surgery and describes the new paradigm emerging with increasing use of endoscopic microneurosurgery.,"Joseph C Maroon, 1"
Building a Successful Endoscopic Skull Base and Pituitary Surgery Practice,"Building an endoscopic cranial base practice can be challenging and is predicated on the right team. Successful outcomes stem from an efficient and talented team that improves its skills experientially in a supportive environment. As with most new endeavors that are beyond the traditional approach, there is a great deal of up-front effort and investment required. This article explores some of the key building blocks necessary for a successful endoscopic cranial base and pituitary program and highlights some of the lessons learned during the authors' journey at the Cleveland Clinic.","Raj Sindwani, 1, Troy D Woodard, 2, Pablo F Recinos, 2"
Pediatric endoscopic skull base surgery,"Purpose of review:Pediatric endoscopic skull base surgery (ESBS) has changed the current management of pediatric sinonasal and skull base disorders. This review focuses on the recent literature exploring pediatric ESBS, including its utility and limitations.Recent findings:Pediatric ESBS has been established as a safe and feasible technique for a variety of disease states. Special considerations in the pediatric populations include the use of image guidance technology, potential anatomic access limitations, and skull base reconstruction with vascularized flaps to prevent cerebrospinal fluid leak. The indications for endoscopic skull base surgery continue to expand as experience and technology evolve.Summary:Pediatric endoscopic skull base surgery is a proven technique established upon adult skull base experience. Despite certain limitations, the current literature would recommend consideration for this approach for many sinonasal and skull base lesions. Further research is required to determine long-term patient outcomes.","Patrick D Munson, 1, Eric J Moore"
"Artificial Intelligence, Radiomics, and Computational Modeling in Skull Base Surgery","This chapter explores current artificial intelligence (AI), radiomics, and computational modeling applications in skull base surgery. AI advancements are providing opportunities to improve diagnostic accuracy, surgical planning, and postoperative care. Currently, computational models can assist in diagnosis, simulate surgical scenarios, and improve safety during surgical procedures by identifying critical structures. AI-powered technologies, such as liquid biopsy, machine learning, radiomic analysis, computer vision, and label-free optical imaging, aim to revolutionize skull base surgery. AI-driven advancements promise safer, more precise, and effective surgeries, improving patient outcomes and preoperative assessment.","Eric Suero Molina, 1, 2, 3, Antonio Di Ieva, 4, 5, 6, 7"
Skull Base Surgery with Minimal Resources,"Background:Skull base surgery needs advanced equipment and is performed at few public sector hospitals in India. For financial and infrastructure reasons, the facilities available are insufficient for the large number of poor patients who need this surgery.Methods:Neurologically deteriorating poor patients who failed to receive skull base surgery at overloaded public sector hospitals underwent surgery with basic neurosurgical instruments, using the available resources and indigenously designed instruments adhering to the basic principles of skull base surgery. Various lesions operated on in the study were analyzed based on their location and surgical approach.Results:Ninety-one skull base surgeries in 84 patients were performed during 2013-2015. There were 46 males and 38 females, with an average age of 35 years. Surgical treatment included surgery of the craniovertebral junction (n = 43) and lesions of the anterior skull base (n = 7), middle skull base (n = 10), and posterior skull base (n = 31). Lesions were operated on through anterior (n = 10), lateral (n = 14), and posterior and posterolateral (n = 67) skull base approaches.Conclusions:The facilities available in low-income countries such as India are insufficient to take care of poor patients who need skull base surgery. Indigenous innovations, use of the available resources, and interdisciplinary coordination help overcome the challenges of resource scarcity to a reasonable extent in many ill-equipped public sector hospitals for the safe and efficient management of many patients who need skull base surgery.","Deepak K Jha, 1, Mukul Jain, 2, Sujata Chaturvedi, 3, Renu Goyal, 4, Arvind Arya, 2, Suman Kushwaha, 5, Anil Thakur, 6"
"Preservation of nasal turbinates in endoscopic, anterior skull base surgery-yes, we can!","Objective:To evaluate the frequency, type and indications of nasal turbinate (NT) resection during endoscopic, anterior skull base surgery and to analyze factors that may have an impact on the need of NT removal.Methods:In this retrospective cohort study, 306 subjects (150 males and 156 females, mean age 55.4 ± 15.3 years) who underwent multidisciplinary, transnasal, endoscopic tumor surgery of the anterior skull base using 4-handed techniques between 2011 and 2019 at the Department of Otorhinolaryngology, Medical University of Graz, were included.Results:In the majority of interventions (n = 281/306; 91.8%), all NT were preserved. Significant factors influencing the need of NT resections turned out to be type of endoscopic approach (p < 0.001; V = 0.304), sagittal (p = 0.003; d = 0.481) and transversal (p = 0.017; d = 0.533) tumor diameter, tumor type (p < 0.001; V = 0.355) and tumor location (p < 0.001; V = 0.324).Conclusions:NT can be preserved in the majority of patients undergoing tumor resection in anterior, transnasal, skullbase surgery and routine resection of NT should be avoided. Variables that have an impact on the need of NT resections are types of endoscopic approaches, sagittal and transversal tumor extension and tumor type. These factors should be considered in planning of surgery and preoperative information of patients.","Axel Wolf, #, 1, Alexandros Andrianakis, #, 1, Peter Valentin Tomazic, 2, Michael Mokry, 3, Georg Clarici, 3, Etienne Holl, 3, Thomas Weiland, 1, Peter Kiss, 1, Sarah Vasicek, 1, Anna Brunner, 3, Christian Lehner, 3, Johannes Schwarz, 1, Verena Gellner, 3"
Technological and Ideological Innovations in Endoscopic Skull Base Surgery,"Background:Endoscopic skull base surgery has evolved over the last several decades due to technological advances and operative techniques. Several innovations that are not yet mainstream may have significant impact on the future of endoscopic skull base surgery.Methods:Current literature pertaining to innovations in endoscopic skull base surgery was retrieved using PubMed, Embase, Web of Science, and Google Scholar.Results:Several recent innovations may play an influential role in the advancement of endoscopic skull base surgery, including fluorescent dyes such as indocyanine green fluorescence, fluorescein, and 5-aminolevulinic acid, 3-dimensional endoscopes, robotic surgery, and intraoperative magnetic resonance imaging.Conclusions:Several technologies are under current investigation with the hope to improve future outcomes in endoscopic skull base surgery. Additional research and evolution are necessary and will require intense scrutiny before becoming standard of care.","Charles A Riley, 1, Christian P Soneru, 1, Abtin Tabaee, 1, Ashutosh Kacker, 1, Vijay K Anand, 1, Theodore H Schwartz, 2"
Different Approaches in Skull Base Surgery Carry Risks for Different Types of Complications,"Complications are not uncommon in the complex field of skull base surgery. The intrinsic relationship of lesions in this region to important neurovascular structures, dura mater, and bone may lead to significant morbidity and mortality. The evolution of endoscopic endonasal surgery has had a significant impact on this field as a less invasive option for treatment of selected lesions, but major morbidity may still occur; moreover, endoscopic approaches have been associated with higher rates of some specific complications, such as cerebrospinal fluid leaks. Based on a presented case report, the authors discuss the management of various complications associated with different approaches for resection of skull base malignancies, including epidural and intradural pneumocephalus, subdural hematoma, and subdural empyema. Important lessons learned by the senior author throughout more than 30 years of his skull base surgery practice are highlighted. The inherent risk of complications in skull base surgery emphasizes the importance of their avoidance, prevention, and learning from one's unfavorable experience so as not to repeat them.","Joao Paulo Almeida, 1, Miguel Marigil-Sanchez, 1, Claire Karekezi, 1, Ian Witterick, 1, Fred Gentili, 2"
[Anatomy for Endoscopic Endonasal Skull Base Surgery],"Endoscopic endonasal skull base surgery has become popular due to its minimally invasive nature to the patient and the development of various medical devices. The reason why it is considered less invasive is that it is possible to reach the anterior skull base lesion using the corridor of the nasal cavity and paranasal sinuses. The roles of the nasal sinuses include acting as breathing pathways, warming, humidifying, and filtering of inhaled air, olfaction, and being a resonant cavity, all of which are important for a comfortable life, and the loss of these functions reduces the quality of life. Therefore, to perform endoscopic endonasal skull base surgery in a minimally invasive and safe manner, it is necessary to understand the anatomy of the nasal sinuses to reach anterior skull base lesions while preserving nasal structures as much as possible. This article describes the normal local anatomy of the nasal cavity and the paranasal sinuses, as well as the surgical techniques, especially the anterior skull base approach and the pterygopalatine fossa approach, for endoscopic endonasal skull base surgery.","Tetsuji Sanuki, 1, Shogo Sumiya"
Emerging Roles of Coblation in Rhinology and Skull Base Surgery,"Coblation is a technology that incorporates bipolar radiofrequency energy to ablate tissue at relatively low temperatures. Its use for sinonasal surgery is actively being investigated, including applications for turbinate reduction, sinus surgery, skull base surgery, and adenoidectomy. Potential benefits include reduction in blood loss, improved endoscopic surgical visualization, and reduction in postoperative pain. The main drawbacks are its relatively high cost, potential adverse effects on functional epithelium, and relative paucity of long-term outcomes.","Garret W Choby, 1, Peter H Hwang, 2"
Anterior skull base surgery,"The basic principle of anterior skull base surgery is to provide adequate exposure to enable three dimensional resection of skull base tumors. Negative surgical margins, which is within the control of surgeon, is the principle prognostic factor in anterior skull base tumors. Open skull base approaches is the standard of care for malignant anterior skull base tumors. Benign lesions may be resected by alternate minimally invasive approaches. Advances in anterior skull base surgery, in particular the facial translocation approaches allows wide exposure of the tumors with minimal retraction of the brain. The outcome of anterior skull base tumors have steadily increased over the years with disease free survival comparable to other malignant neoplasm of the head and neck region. This review described various surgical approaches and pertaining anatomy and pathology of anterior skull base tumors.","Moni Abraham Kuriakose, 1, Nirav P Trivedi, Vikram Kekatpure"
World Neurosurgery. Neuroendoscopy refinements & innovation in endoscopic skull base surgery. Introduction,Résumé non trouvé,"Paolo Cappabianca, 1"
Comprehensive management of the paranasal sinuses in patients undergoing endoscopic endonasal skull base surgery,Objective:The endonasal route often provides the most direct and safe approach to skull base pathology. In this article we review the literature with regard to management of the paranasal sinuses in the setting of skull base surgery.Methods:We describe our institutional experience and review the literature of concurrent management of the sinusitis in patients undergoing endoscopic skull base surgery.Results:Patients should be optimized preoperatively to ensure the endonasal route is a safe corridor to enter the intracranial cavity. Often the paranasal sinuses can be surgically addressed at the same time as endoscopic skull base surgery. We describe the technical details of management of the paranasal sinuses when addressing skull base pathology.Conclusions:Careful management of the paranasal sinuses throughout the peri-operative course is paramount to optimizing sinonasal function and safety.,"Gurston G Nyquist, 1, Marc R Rosen, 2, Mark E Friedel, 2, D David Beahm, 2, Christopher J Farrell, 3, James J Evans, 3"
Hearing Outcomes Reporting in Lateral Skull Base Surgery,"Hearing outcomes reporting has evolved significantly and new standards for reporting now enable a more precise and comprehensive representation of hearing outcomes. Hearing is one of the critical sensory domains contained within the lateral skull base and temporal bone. For those patients with serviceable hearing, hearing preservation is a key treatment goal. Pre- and postoperative hearing assessment is fundamental to the diagnostic evaluation of patients preparing to undergo lateral skull base surgery. Standardization in reporting these hearing outcomes is critical to compare the efficacy of different treatment options for lateral skull base lesions. Over the time, reporting of hearing outcomes has evolved from broadly categorizing patients into large groups to comparing individual patients which requires more specific datasets to compare pre- and posttreatment hearing outcomes. Future research in lateral skull base surgery will benefit from precise, accurate, and easily understood reporting outcomes, all of which will allow for more efficient comparability between studies and pooling of data for meta-analysis.","Geoffrey C Casazza, 1, Christian A Bowers, 2, Richard K Gurgel, 1"
